capture_name,Repeat,X,Y,Z,L*,a*,b*,dE00*C
solid_green_pupil_1,10,167.83716,620.50876,47.550712,100,-171.1201481,117.4254266,36.60213057
solid_green_pupil_1,11,164.80366,610.32289,46.757891,100,-171.3051261,117.432642,36.60700046
solid_green_pupil_1,12,166.94443,617.63138,47.222015,100,-171.1952673,117.4883972,36.60516593
solid_green_pupil_1,13,167.83568,620.70443,47.491498,100,-171.1556769,117.4683912,36.60379867
solid_green_pupil_2,1,171.60131,630.62132,47.591907,100,-170.4602183,117.8454813,36.59263111
solid_green_pupil_2,2,171.05585,629.05695,47.542196,100,-170.5370961,117.8060736,36.59390387
solid_green_pupil_2,3,171.8878,631.39658,47.866623,100,-170.4119357,117.7214131,36.58918893
solid_green_pupil_2,4,171.7505,630.72181,47.692195,100,-170.3822528,117.7921815,36.58968378
solid_green_pupil_2,5,170.0186,625.34304,47.32467,100,-170.5547591,117.7694754,36.5937079
solid_green_pupil_2,6,171.92577,631.67016,47.925425,100,-170.4352614,117.6996201,36.58940101
solid_green_pupil_2,7,171.1483,629.17167,47.581909,100,-170.4977813,117.7881911,36.59257801
solid_green_pupil_2,8,171.995,632.19256,47.838079,100,-170.4818453,117.7723106,36.59188726
solid_green_pupil_2,9,171.5929,630.65987,47.470568,100,-170.4723164,117.9170329,36.59421156
solid_green_pupil_2,10,171.65318,630.29244,47.671549,100,-170.3697057,117.7853855,36.58924091
solid_green_pupil_2,11,171.36813,630.0555,47.610014,100,-170.5109774,117.810475,36.59331195
solid_green_pupil_2,12,171.60633,630.49645,47.608141,100,-170.435251,117.8307174,36.59172843
solid_green_pupil_2,13,171.37178,630.12549,47.580108,100,-170.5208378,117.8307301,36.59392424
solid_green_pupil_3,1,173.89886,652.38813,50.614018,100,-172.7190243,117.0852954,36.63709973
solid_green_pupil_3,2,174.37546,653.58808,50.774114,100,-172.6209022,117.0487923,36.63396201
solid_green_pupil_3,3,173.71261,651.38796,50.445753,100,-172.6685462,117.1349118,36.63667104
solid_green_pupil_3,4,173.27952,649.2051,50.408037,100,-172.5746471,117.0628214,36.63302381
solid_green_pupil_3,5,174.21809,652.84189,50.54252,100,-172.5947709,117.1435614,36.63493801
solid_green_pupil_3,6,171.77939,643.2857,49.995973,100,-172.5239177,117.0365102,36.63127123
solid_green_pupil_3,7,174.19614,653.14221,50.706062,100,-172.6587084,117.0670055,36.63524314
solid_green_pupil_3,8,173.53765,650.91683,50.368845,100,-172.6995491,117.1570669,36.63784598
solid_green_pupil_3,9,172.39423,646.75055,50.226274,100,-172.7202213,117.0579648,36.63665696
solid_green_pupil_3,10,173.9513,652.33411,50.587266,100,-172.6770951,117.0976179,36.636243
solid_green_pupil_3,11,173.88242,652.59774,50.620138,100,-172.7643809,117.0908322,36.63835307
solid_green_pupil_3,12,171.33074,641.92086,49.834448,100,-172.5775401,117.0672581,36.63317466
solid_green_pupil_3,13,174.2413,653.00131,50.483016,100,-172.6068791,117.1828305,36.63592806
solid_green_pupil_4,1,167.89255,644.78037,48.872438,100,-175.2640232,117.7263619,36.71248101
solid_green_pupil_4,2,166.78463,641.40428,48.566486,100,-175.4124007,117.7546072,36.71668062
solid_green_pupil_4,3,167.4679,644.07485,48.842302,100,-175.4196101,117.7132523,36.71616452
solid_green_pupil_4,4,167.01524,642.75039,48.71153,100,-175.4897262,117.7303259,36.71821081
solid_green_pupil_4,5,167.05623,642.76917,48.720117,100,-175.4663413,117.7262932,36.71755643
